RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01
102001,United States,0,182700,179200,175300,172000,170900,170600,169900,168600,165600,162000,159500,158000,156400,152400,149000,148200,150000,152300,154200,155500,156800,157400,158600,159100,159900,157200,154900,152200,152600,153200,154600,153900,153500,152300,152500,151700,149100,146400,143900,144100,145100,145500,145700,145300,145400,146000,145600,145800,146200,147700,149000,150500,152500,154900,155600,156100,156600,159000,160300,161100,161700,162900,164900,166500,169600,171900,172800,172300,170900,171300,171000,172100,171900,172200,172500,173400,175000,176700,177800,178200,178200,179000,180400,182600,184300,185800,186600,187200,188300,188400,188600,188000,188000,189500,191000,192400,192400,192900,193100,194400,195400,197100,197500,199200,200900,201800,202900,203600,205000,205000,205200,205900,207100,208300,210200,211400,213100,213500,216300,220300,223800,223900,221400,219900,219400,219500,219400,220300,222200,223400,226300,228700,231600,231500,231400,231900,232700,233700,234500,236400,239200,241300,244900
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362700,363500,362200,362200,362300,361300,357200,355500,353600,354300,351100,345100,341700,340500,342500,346800,350100,354400,356400,355800,352400,349500,352000,355800,354200,353300,349300,353500,350100,355300,355200,360300,364000,367000,368700,364500,362500,362600,365700,366600,364900,364300,364100,363900,364700,363700,361800,360800,361700,368900,371100,371400,367300,365000,366400,363600,363200,362400,364600,366200,368100,366200,364700,364000,364900,365500,364500,364900,366000,365300,368000,367200,367900,364200,365300,365900,368700,370400,370400,371700,369500,371200,370700,375200,376200,378700,377600,378700,378800,381100,382100,384000,384100,384600,383400,383900,384600,387800,389400,390700,392000,393200,393900,395700,396800,399500,402000,406500,412800,415600
753899,"Los Angeles-Long Beach-Anaheim, CA",2,471200,459500,443800,432200,417500,405100,390300,378500,366100,355500,341500,332000,325400,319800,316700,322800,332800,341400,347500,352600,359900,362800,365500,362100,360400,357100,360900,358400,360400,356100,360600,358500,360800,357000,353500,351300,349700,350300,346400,342500,340900,339500,339000,334000,333100,331800,332400,331400,331800,337100,340100,344700,348700,356100,363900,370500,378000,386100,391200,395700,402200,415300,427100,437000,443200,447100,449500,450600,451200,452200,450600,453200,452600,456800,460600,462800,465600,466700,470100,473100,474000,476100,476600,482800,487300,492600,491200,494100,495100,499500,498600,498200,500100,507700,515400,517400,518200,519800,524500,525100,526000,529100,531700,528600,525500,522000,525100,521700,525300,527500,534800,537000,538500,540800,546900,559100,576500,587700,595500,598100,603100,603400,604600,606600,609100,610800,614100,619800,626000,625100,626000,625500,631800,636800,634300,632000,634000,638200,642700,644700,650500,658100,666600
394463,"Chicago, IL",3,253600,248800,232800,221200,218800,220100,224100,223400,217800,212900,206300,205100,201500,195500,186800,180900,182200,186900,190200,192400,192300,192200,192800,194900,192900,188800,181700,179000,174200,175400,173600,178000,177700,179000,177000,175500,170600,164900,158100,156200,157900,161500,163000,161100,157300,156100,153600,153500,153100,154300,153800,155400,157100,159300,158500,156400,157100,156700,158400,155600,155000,154700,158600,163300,171500,176600,180300,181000,181700,182500,181600,182500,180600,179500,179000,182900,187400,191800,194700,194500,192800,190900,191400,191900,192700,193700,194200,194200,193200,188300,185900,183500,182500,181100,179900,181400,182300,183800,184500,185000,186200,188800,188900,190400,190900,194200,196200,200200,202800,203700,202600,199800,198300,198300,199500,200800,201300,203600,206300,211500,217500,219400,217200,215400,216200,217500,217500,218800,223300,219600,222200,226800,237600,238200,233800,227600,224600,224600,226600,229600,231800,234400,235800
394514,"Dallas-Fort Worth, TX",4,146000,144100,142300,141700,143800,145800,145900,144200,142900,141100,141200,141300,141800,139800,139900,142000,145600,148000,148600,148200,146900,145500,145600,146000,147200,147400,145800,145800,146400,150500,152100,150900,149500,149500,152200,151500,147900,143000,141300,142000,144800,147100,148900,148700,147700,149000,150600,152100,152900,153800,155500,156900,158700,159800,162000,162100,162200,161900,164000,164700,165300,167200,170400,172400,175200,176800,178600,177500,177900,177300,177600,178100,179200,179200,179300,180300,182200,184100,184500,185300,186500,189200,192700,194200,195100,194800,196500,198300,200500,201300,201900,202000,202500,203400,205600,207800,209500,209900,211500,213800,215400,216900,218600,221100,223900,225000,229100,232200,234300,233300,232400,232100,232000,233600,235800,238500,239500,241900,245700,250000,251500,249300,247200,246600,247600,246000,246000,245200,246900,247400,250600,251600,252000,250300,250800,252100,253400,255500,257900,260900,263200,265100,270400
394974,"Philadelphia, PA",5,212300,212100,207900,200000,196100,196100,198500,198500,199100,195900,194900,194100,198500,198900,194800,189000,185800,187800,190100,192300,194400,196500,198900,200500,201500,201800,196200,190800,187000,184400,186400,187500,192700,193700,196500,198000,196300,192700,184100,181200,179500,182000,182300,182700,182600,183500,183500,185800,186000,185700,183800,184000,183300,184700,182200,183700,184800,189000,190500,190100,189400,188800,187000,188000,190000,193300,193200,192600,192200,191600,191200,189900,191400,190400,190100,189600,189400,190900,190600,191600,190100,188900,188400,188600,189800,192400,192200,192200,190000,190400,191400,191600,190700,186800,187800,190500,192200,190500,189600,191600,193600,192800,192100,190800,191200,193700,193200,196200,195700,197600,198500,199300,200000,197100,195900,194600,194800,195100,195800,194000,195900,196600,199400,197800,196700,197000,197400,198000,199600,201000,202900,205800,207800,213700,213800,215700,213500,214300,213400,214000,219500,223600,
394692,"Houston, TX",6,146100,144600,141800,142200,143400,144800,146700,144700,141000,135200,134100,134400,137200,139300,141700,144400,147100,149600,150600,149600,147400,144700,144100,144100,145100,145500,143900,142900,142100,144300,145300,145900,147100,149400,149200,148200,145600,143300,141600,142100,143700,146400,146900,148400,148300,149600,147800,145200,144200,147400,151000,154100,155000,155600,154400,153700,155100,155900,156100,154200,155300,159400,163900,167200,169200,170800,171800,171200,172200,172200,172400,173500,175600,178000,178600,178500,177800,179700,180300,181600,180500,180900,182800,184000,185700,184900,186100,187500,189500,190800,188800,188100,186000,187400,188700,189900,188700,189400,191900,195700,199400,201000,203600,204100,207400,209500,211500,211400,211700,211500,211700,211900,211700,211500,212900,215800,218000,217100,216700,217900,219300,220900,221300,220500,219900,219100,221100,223600,226200,229800,229700,230800,229300,230900,231100,230000,228000,227900,229400,232800,235700,240600,242900
395209,"Washington, DC",7,354000,343300,326900,313200,309700,308100,301900,293600,287400,280100,279400,275200,277800,270900,268600,269800,278000,288600,292200,289900,285700,283300,282300,279400,277100,278700,278200,276500,281000,277200,285400,282000,292600,290400,287700,286900,282500,280900,276500,277900,287200,294600,302800,293900,290000,281500,284600,280100,291400,297000,307700,310200,318400,321000,319500,316700,318300,317500,319100,315600,324300,327600,337600,339900,345500,346800,345000,341300,340500,339600,341600,339400,341500,337900,345000,346200,352200,347700,346700,345600,347000,349800,348400,350500,356300,356800,354000,345900,344100,342600,345700,348500,349000,343000,342200,346000,348600,349100,346300,346900,348000,349600,350700,353500,352100,352900,355200,356900,359300,358000,359500,358400,359800,359800,362900,363000,365300,367700,370200,372400,378600,380600,381600,375100,372700,373400,374600,376100,377400,378200,381400,385000,396200,396400,395900,387900,387500,388600,393200,395800,403700,400400,401800
394856,"Miami-Fort Lauderdale, FL",8,253600,244700,236200,229400,225500,222800,214600,206400,194000,187000,174800,166400,157800,150300,143000,138400,139900,142200,144200,143700,143700,144300,143700,143300,142300,140800,140200,137800,134200,129600,125400,126600,127200,126600,120100,115800,112900,114500,117800,121000,125000,123700,123000,121500,121000,123800,126300,130000,129900,132200,131900,135500,135400,137600,139000,141100,142800,147600,152100,155500,153200,154400,158700,162800,165600,168700,171400,172800,172900,174800,176700,176000,176700,177100,179600,181400,185800,186100,187200,186000,190000,192300,194000,194000,195500,197400,202600,206300,208600,207800,207300,207100,204400,205100,206900,213700,215600,218000,217900,219300,220800,223000,226000,228500,227300,227400,227400,232700,234400,237500,235900,238000,237900,241800,243800,245600,245000,246700,250600,254100,256700,256100,254100,253100,251600,252200,251400,255800,258300,260000,257900,262100,265600,268300,265800,266400,266300,269000,268100,271800,276000,282900,290200
394347,"Atlanta, GA",9,161200,153500,148500,145500,144800,146200,144500,142900,136200,130100,125800,122800,120200,115300,112500,113000,118300,123600,128000,130200,133200,133400,132300,126800,121600,118500,119200,119300,118000,115300,116400,117000,119300,118000,118100,111500,106500,100200,97900,96900,97300,98000,96000,91900,92000,92500,94000,92500,93200,94000,95600,96600,98400,100900,103600,104800,107100,110800,113800,117800,121400,126300,128900,133300,137400,140600,139400,138500,138400,139100,139600,140600,141200,142200,144700,150600,154500,156900,154700,156000,155100,159400,159100,162600,162600,171200,172800,174800,170500,170700,171200,170500,173400,174000,176000,174600,174900,174700,174400,172800,173600,173800,175900,176400,179800,179400,182100,181500,185100,185100,186700,188000,188500,187300,188100,190300,193300,194700,197200,201300,203200,204300,203200,204700,204400,201600,203500,205400,210600,211400,216200,218600,219400,217100,218200,220200,222800,222800,225500,226800,232500,233900,
